demo1_session,qkd,0.5078390004200628,32,0.9994261549267001,0.0136986301369863,True,,
demo1_session,kyber,15.999745999579318,32,,,,Kyber1024,
demo1_session,qrng,1374.4723649997468,32,1.0,,,,simulator
demo3_eve,qkd,0.3964669995184522,32,0.9997921257182902,0.25617283950617287,False,,
demo3_eve,kyber,16.54197700008808,32,,,,Kyber1024,
demo3_eve,qrng,972.5217720006185,32,1.0,,,,simulator
demo4_aes,qkd,0.25773900051717646,32,0.9999828352080604,0.01056910569105691,True,,
demo4_aes,kyber,24.086296999485057,32,,,,Kyber1024,
demo4_aes,qrng,995.1484920002258,32,1.0,,,,simulator
demo4_chacha,qkd,0.26254899967170786,32,0.9999563818759851,0.012441679626749611,True,,
demo4_chacha,kyber,16.205281000111427,32,,,,Kyber1024,
demo4_chacha,qrng,987.2212480004237,32,1.0,,,,simulator
demo5_kyber1024,qkd,0.2991620003740536,32,0.9994381420768768,0.008527131782945736,True,,
demo5_kyber1024,kyber,16.15507200040156,32,,,,Kyber1024,
demo5_kyber1024,qrng,996.7467530004797,32,1.0,,,,simulator
demo5_kyber768,qkd,0.25183900015690597,32,0.9994893869480135,0.009389671361502348,True,,
demo5_kyber768,kyber,11.656394000056025,32,,,,Kyber768,
demo5_kyber768,qrng,985.9400659997846,32,1.0,,,,simulator
